file,haverace,archer,T-San,Romp,Inspector
86,TRUE,1,1,,1
87,TRUE,1,1,,1
100,FALSE,-1,1,,0
101,FALSE,0,1,,0
1,TRUE,1,,,1
2,TRUE,1,,,1
3,TRUE,1,,,1
4,TRUE,1,,,1
5,TRUE,1,,,1
6,TRUE,0,,,1
7,TRUE,0,,,1
8,TRUE,0,,,1
9,TRUE,1,,,1
10,TRUE,1,,,1
11,TRUE,1,,,1
12,TRUE,1,,,1
13,TRUE,1,,,1
14,TRUE,1,,,1
15,TRUE,1,,,1
16,TRUE,1,,,1
17,TRUE,1,,,1
18,TRUE,1,,,1
19,TRUE,1,,,1
20,TRUE,1,,,1
21,TRUE,1,,,1
22,TRUE,1,,,1
23,TRUE,1,,,0
24,TRUE,0,,,0
25,TRUE,0,,,0
26,TRUE,1,,,1
27,TRUE,1,,,0
28,TRUE,1,,,1
29,TRUE,1,,,1
30,TRUE,1,,,1
31,TRUE,1,,,0
32,TRUE,1,,,1
33,TRUE,1,,,1
34,TRUE,1,,,1
35,TRUE,1,,,1
36,TRUE,1,,,1
37,TRUE,1,,,1
38,TRUE,1,,,1
39,TRUE,1,,,1
40,TRUE,1,,,1
41,FALSE,0,,,1
42,FALSE,0,,,1
43,FALSE,0,,,1
44,FALSE,0,,,1
45,FALSE,0,,,1
46,FALSE,0,,,1
47,FALSE,0,,,1
48,FALSE,0,,,1
49,FALSE,0,,,1
50,FALSE,0,,,1
51,FALSE,0,,,0
52,FALSE,0,,,1
53,FALSE,0,,,1
54,FALSE,0,,,1
55,FALSE,0,,,1
56,FALSE,0,,,1
57,FALSE,0,,,0
58,FALSE,1,,,1
59,FALSE,0,,,1
60,FALSE,0,,,0
61,FALSE,0,,,1
62,FALSE,0,,,0
63,FALSE,0,,,1
64,FALSE,0,,,1
65,FALSE,0,,,0
66,FALSE,0,,,0
67,FALSE,0,,,1
68,FALSE,0,,,1
69,FALSE,0,,,0
70,FALSE,0,,,0
71,FALSE,0,,,1
72,FALSE,0,,,0
73,TRUE,1,,,1
74,TRUE,1,,,1
75,TRUE,1,,,1
76,FALSE,0,,,0
77,FALSE,0,,,0
78,FALSE,0,,,0
79,FALSE,0,,,0
80,TRUE,1,,,1
81,FALSE,0,,,0
82,TRUE,1,,,1
83,FALSE,0,,,0
84,TRUE,1,,,1
85,FALSE,0,,,1
88,TRUE,1,,,1
89,TRUE,1,,,1
90,TRUE,1,,,0
91,FALSE,0,,,1
92,TRUE,1,,,1
93,FALSE,0,,,1
94,FALSE,-1,,,0
95,TRUE,-1,,,1
96,FALSE,-1,,,0
97,FALSE,1,,,1
98,FALSE,0,,,0
99,FALSE,0,,,1
102,FALSE,0,,,0
103,FALSE,0,,,0
104,FALSE,0,,,1
105,FALSE,0,,,0
106,TRUE,1,,,0
107,FALSE,0,,,0
108,FALSE,0,,,0
109,TRUE,1,,,1
110,FALSE,0,,,0
111,TRUE,1,,,1
112,FALSE,-1,,,0
113,FALSE,0,,,1
114,TRUE,0,,,1
115,TRUE,1,,,1
116,TRUE,0,,,0
