tool,id,filename,haverace,threads,dataset,races,elapsed-time(seconds),used-mem(KBs),compile-return,runtime-return
inspector,001,"DRB001-antidep1-orig-yes.c",true,2,32,0,6.916,88164,0,0
inspector,001,"DRB001-antidep1-orig-yes.c",true,2,32,0,6.784,88316,0,0
inspector,001,"DRB001-antidep1-orig-yes.c",true,2,32,0,6.830,88052,0,0
inspector,001,"DRB001-antidep1-orig-yes.c",true,2,32,0,6.819,88000,0,0
inspector,001,"DRB001-antidep1-orig-yes.c",true,2,32,0,6.746,88276,0,0
inspector,001,"DRB001-antidep1-orig-yes.c",true,4,32,0,6.974,93976,0,0
inspector,001,"DRB001-antidep1-orig-yes.c",true,4,32,0,6.880,93992,0,0
inspector,001,"DRB001-antidep1-orig-yes.c",true,4,32,0,6.863,94116,0,0
inspector,001,"DRB001-antidep1-orig-yes.c",true,4,32,1,6.922,Command exited with non-zero status 8
94288,0,0
inspector,001,"DRB001-antidep1-orig-yes.c",true,4,32,0,6.861,93932,0,0
inspector,001,"DRB001-antidep1-orig-yes.c",true,8,32,1,7.091,Command exited with non-zero status 8
105684,0,0
inspector,001,"DRB001-antidep1-orig-yes.c",true,8,32,0,7.023,105528,0,0
inspector,001,"DRB001-antidep1-orig-yes.c",true,8,32,1,7.042,Command exited with non-zero status 8
105804,0,0
inspector,001,"DRB001-antidep1-orig-yes.c",true,8,32,0,7.066,105672,0,0
inspector,001,"DRB001-antidep1-orig-yes.c",true,8,32,1,7.169,Command exited with non-zero status 8
105776,0,0
